# Sample 3D plant point cloud semantic segmentation training log
# Model: PointNeXt-style custom plant segmentation network
# Task: leaf / stem semantic segmentation and phenotyping preprocessing
Epoch 1/100 | train_loss: 1.2896 | val_loss: 1.1610 | mIoU: 0.3607 | F1: 0.4088 | OA: 0.4407 | Precision: 0.4655 | Recall: 0.3656 | leaf_iou: 0.4564 | stem_iou: 0.2564
Epoch 2/100 | train_loss: 1.2553 | val_loss: 1.1376 | mIoU: 0.3807 | F1: 0.4268 | OA: 0.4607 | Precision: 0.4851 | Recall: 0.3829 | leaf_iou: 0.4771 | stem_iou: 0.2768
Epoch 3/100 | train_loss: 1.2220 | val_loss: 1.1147 | mIoU: 0.3999 | F1: 0.4436 | OA: 0.4799 | Precision: 0.5034 | Recall: 0.3985 | leaf_iou: 0.4970 | stem_iou: 0.2962
Epoch 4/100 | train_loss: 1.1896 | val_loss: 1.0923 | mIoU: 0.4183 | F1: 0.4590 | OA: 0.4983 | Precision: 0.5202 | Recall: 0.4124 | leaf_iou: 0.5160 | stem_iou: 0.3146
Epoch 5/100 | train_loss: 1.1582 | val_loss: 1.0705 | mIoU: 0.4358 | F1: 0.4729 | OA: 0.5158 | Precision: 0.5353 | Recall: 0.4244 | leaf_iou: 0.5341 | stem_iou: 0.3319
Epoch 6/100 | train_loss: 1.1276 | val_loss: 1.0492 | mIoU: 0.4525 | F1: 0.4853 | OA: 0.5325 | Precision: 0.5487 | Recall: 0.4347 | leaf_iou: 0.5513 | stem_iou: 0.3480
Epoch 7/100 | train_loss: 1.0980 | val_loss: 1.0284 | mIoU: 0.4682 | F1: 0.4963 | OA: 0.5482 | Precision: 0.5605 | Recall: 0.4433 | leaf_iou: 0.5674 | stem_iou: 0.3631
Epoch 8/100 | train_loss: 1.0692 | val_loss: 1.0081 | mIoU: 0.4831 | F1: 0.5060 | OA: 0.5631 | Precision: 0.5707 | Recall: 0.4507 | leaf_iou: 0.5826 | stem_iou: 0.3771
Epoch 9/100 | train_loss: 1.0413 | val_loss: 0.9883 | mIoU: 0.4971 | F1: 0.5149 | OA: 0.5771 | Precision: 0.5799 | Recall: 0.4572 | leaf_iou: 0.5969 | stem_iou: 0.3900
Epoch 10/100 | train_loss: 1.0141 | val_loss: 0.9689 | mIoU: 0.5104 | F1: 0.5232 | OA: 0.5904 | Precision: 0.5882 | Recall: 0.4632 | leaf_iou: 0.6103 | stem_iou: 0.4020
Epoch 11/100 | train_loss: 0.9878 | val_loss: 0.9500 | mIoU: 0.5229 | F1: 0.5314 | OA: 0.6029 | Precision: 0.5960 | Recall: 0.4693 | leaf_iou: 0.6229 | stem_iou: 0.4130
Epoch 12/100 | train_loss: 0.9622 | val_loss: 0.9315 | mIoU: 0.5348 | F1: 0.5397 | OA: 0.6148 | Precision: 0.6038 | Recall: 0.4759 | leaf_iou: 0.6348 | stem_iou: 0.4233
Epoch 13/100 | train_loss: 0.9374 | val_loss: 0.9135 | mIoU: 0.5462 | F1: 0.5485 | OA: 0.6262 | Precision: 0.6118 | Recall: 0.4833 | leaf_iou: 0.6460 | stem_iou: 0.4329
Epoch 14/100 | train_loss: 0.9132 | val_loss: 0.8959 | mIoU: 0.5571 | F1: 0.5581 | OA: 0.6371 | Precision: 0.6203 | Recall: 0.4918 | leaf_iou: 0.6567 | stem_iou: 0.4419
Epoch 15/100 | train_loss: 0.8898 | val_loss: 0.8787 | mIoU: 0.5677 | F1: 0.5684 | OA: 0.6477 | Precision: 0.6294 | Recall: 0.5015 | leaf_iou: 0.6669 | stem_iou: 0.4505
Epoch 16/100 | train_loss: 0.8671 | val_loss: 0.8619 | mIoU: 0.5780 | F1: 0.5794 | OA: 0.6580 | Precision: 0.6390 | Recall: 0.5124 | leaf_iou: 0.6768 | stem_iou: 0.4587
Epoch 17/100 | train_loss: 0.8450 | val_loss: 0.8455 | mIoU: 0.5881 | F1: 0.5911 | OA: 0.6681 | Precision: 0.6491 | Recall: 0.5245 | leaf_iou: 0.6864 | stem_iou: 0.4667
Epoch 18/100 | train_loss: 0.8235 | val_loss: 0.8295 | mIoU: 0.5981 | F1: 0.6030 | OA: 0.6781 | Precision: 0.6594 | Recall: 0.5373 | leaf_iou: 0.6958 | stem_iou: 0.4746
Epoch 19/100 | train_loss: 0.8027 | val_loss: 0.8138 | mIoU: 0.6081 | F1: 0.6150 | OA: 0.6881 | Precision: 0.6698 | Recall: 0.5505 | leaf_iou: 0.7051 | stem_iou: 0.4824
Epoch 20/100 | train_loss: 0.7825 | val_loss: 0.7986 | mIoU: 0.6180 | F1: 0.6267 | OA: 0.6980 | Precision: 0.6798 | Recall: 0.5639 | leaf_iou: 0.7144 | stem_iou: 0.4903
Epoch 21/100 | train_loss: 0.7628 | val_loss: 0.7837 | mIoU: 0.6279 | F1: 0.6377 | OA: 0.7079 | Precision: 0.6892 | Recall: 0.5768 | leaf_iou: 0.7236 | stem_iou: 0.4983
Epoch 22/100 | train_loss: 0.7438 | val_loss: 0.7691 | mIoU: 0.6379 | F1: 0.6477 | OA: 0.7179 | Precision: 0.6977 | Recall: 0.5890 | leaf_iou: 0.7329 | stem_iou: 0.5064
Epoch 23/100 | train_loss: 0.7253 | val_loss: 0.7549 | mIoU: 0.6478 | F1: 0.6565 | OA: 0.7278 | Precision: 0.7051 | Recall: 0.6001 | leaf_iou: 0.7421 | stem_iou: 0.5146
Epoch 24/100 | train_loss: 0.7073 | val_loss: 0.7410 | mIoU: 0.6576 | F1: 0.6640 | OA: 0.7376 | Precision: 0.7114 | Recall: 0.6100 | leaf_iou: 0.7512 | stem_iou: 0.5229
Epoch 25/100 | train_loss: 0.6898 | val_loss: 0.7275 | mIoU: 0.6673 | F1: 0.6701 | OA: 0.7473 | Precision: 0.7166 | Recall: 0.6185 | leaf_iou: 0.7603 | stem_iou: 0.5312
Epoch 26/100 | train_loss: 0.6729 | val_loss: 0.7142 | mIoU: 0.6769 | F1: 0.6751 | OA: 0.7569 | Precision: 0.7208 | Recall: 0.6257 | leaf_iou: 0.7692 | stem_iou: 0.5397
Epoch 27/100 | train_loss: 0.6564 | val_loss: 0.7013 | mIoU: 0.6862 | F1: 0.6790 | OA: 0.7662 | Precision: 0.7243 | Recall: 0.6316 | leaf_iou: 0.7779 | stem_iou: 0.5481
Epoch 28/100 | train_loss: 0.6404 | val_loss: 0.6887 | mIoU: 0.6952 | F1: 0.6823 | OA: 0.7752 | Precision: 0.7273 | Recall: 0.6366 | leaf_iou: 0.7864 | stem_iou: 0.5564
Epoch 29/100 | train_loss: 0.6249 | val_loss: 0.6764 | mIoU: 0.7038 | F1: 0.6853 | OA: 0.7838 | Precision: 0.7304 | Recall: 0.6410 | leaf_iou: 0.7946 | stem_iou: 0.5646
Epoch 30/100 | train_loss: 0.6098 | val_loss: 0.6643 | mIoU: 0.7120 | F1: 0.6884 | OA: 0.7920 | Precision: 0.7338 | Recall: 0.6449 | leaf_iou: 0.8024 | stem_iou: 0.5727
Epoch 31/100 | train_loss: 0.5952 | val_loss: 0.6526 | mIoU: 0.7196 | F1: 0.6919 | OA: 0.7996 | Precision: 0.7379 | Recall: 0.6488 | leaf_iou: 0.8098 | stem_iou: 0.5805
Epoch 32/100 | train_loss: 0.5810 | val_loss: 0.6411 | mIoU: 0.7268 | F1: 0.6960 | OA: 0.8068 | Precision: 0.7429 | Recall: 0.6529 | leaf_iou: 0.8168 | stem_iou: 0.5881
Epoch 33/100 | train_loss: 0.5672 | val_loss: 0.6299 | mIoU: 0.7333 | F1: 0.7010 | OA: 0.8133 | Precision: 0.7489 | Recall: 0.6574 | leaf_iou: 0.8233 | stem_iou: 0.5953
Epoch 34/100 | train_loss: 0.5538 | val_loss: 0.6190 | mIoU: 0.7393 | F1: 0.7069 | OA: 0.8193 | Precision: 0.7561 | Recall: 0.6624 | leaf_iou: 0.8294 | stem_iou: 0.6023
Epoch 35/100 | train_loss: 0.5408 | val_loss: 0.6083 | mIoU: 0.7448 | F1: 0.7137 | OA: 0.8248 | Precision: 0.7644 | Recall: 0.6678 | leaf_iou: 0.8350 | stem_iou: 0.6090
Epoch 36/100 | train_loss: 0.5282 | val_loss: 0.5979 | mIoU: 0.7498 | F1: 0.7212 | OA: 0.8298 | Precision: 0.7734 | Recall: 0.6735 | leaf_iou: 0.8403 | stem_iou: 0.6155
Epoch 37/100 | train_loss: 0.5159 | val_loss: 0.5877 | mIoU: 0.7543 | F1: 0.7292 | OA: 0.8343 | Precision: 0.7830 | Recall: 0.6794 | leaf_iou: 0.8451 | stem_iou: 0.6216
Epoch 38/100 | train_loss: 0.5040 | val_loss: 0.5777 | mIoU: 0.7585 | F1: 0.7372 | OA: 0.8385 | Precision: 0.7927 | Recall: 0.6852 | leaf_iou: 0.8497 | stem_iou: 0.6276
Epoch 39/100 | train_loss: 0.4924 | val_loss: 0.5680 | mIoU: 0.7623 | F1: 0.7449 | OA: 0.8423 | Precision: 0.8021 | Recall: 0.6906 | leaf_iou: 0.8540 | stem_iou: 0.6335
